,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE
6/25/1981,1.047006761,0,0,0.069833003,0,0,0.987580432,0.293970121,0.735982844,0.515154521,4.259642211,0,0.079650684,2.105482137
6/26/1981,0.497010082,0,0,0.450821348,0,0,0.228134631,0.636361874,0.478512616,1.052673801,0.821088503,0,6.188066014,2.731912752
6/27/1981,0.135553006,0.047278029,0,0.93359747,0.103013808,0.008092683,0,0,0,0.000332127,0.288040964,0.374211301,0.12535042,0.652295339
6/28/1981,0.107233156,0,0,0,0,0.040376363,3.319437694,1.514040677,0,0.686136735,0.363785896,0,0,0.708237422
6/29/1981,0.108300833,0,0,0,0,0.099458654,1.036742363,3.574286895,0,0.330239781,2.244609373,0,0.224558384,0.621327528
6/30/1981,0.092393744,0.02938698,0,0.022179646,0,0.299217064,0.532373613,0.59531332,0,0.155842909,1.187139294,0,0,0
7/1/1981,0,0,0,0,0,0.041205155,7.84E-05,0.452394522,0,0,8.246336619,0,0.974290223,1.116255049
7/2/1981,0,0,0,0,0.022909314,0.010684849,0,0,2.349465178,0,2.124596232,0,0.216510456,0.577242365
7/3/1981,3.230778192,8.192213823,23.39337896,3.975383608,2.181264594,0.749924816,1.12465801,0.895484853,4.429274483,1.536792061,5.54E-06,3.390000652,6.938510746,6.212303064
7/4/1981,1.239331683,15.41697556,14.73750515,7.866276903,4.657211703,8.039504713,1.535804275,2.814506855,2.721724502,0.494217429,0,9.617813518,3.118054149,4.55365465
7/5/1981,9.438560729,25.93789015,25.62042898,12.96095111,21.28337155,11.02653643,2.560108135,6.903577215,14.88336124,3.87582297,5.17403502,12.85799807,3.1643324,4.620835633
7/6/1981,1.410147007,1.600424501,4.384315827,1.273947582,0.005122887,0.014604289,0.580275751,6.612896657,8.960190697,4.387467888,28.70307374,0.0516482,29.22749391,30.13068878
7/7/1981,0.771260264,0,0,0.962566135,2.308147355,0.002645329,2.61911058,1.037299771,0.544847629,1.993654959,0.312446197,0,14.28402023,17.62501212
7/8/1981,1.310648393,0.007617541,0,0.496137977,0,0.576585858,7.481678841,10.88610184,0.264095863,0.90479249,1.560992317,0.000180292,5.62555934,7.525541822
7/9/1981,0.006361386,0,0,0,0.15070587,0.23487099,1.632308743,0.541417894,0,0.093796106,0.19856965,0,0.027713678,0.26827324
7/10/1981,0,0,0,0,0,0.137238289,0.236071914,0.752198093,0,0.125808804,0.010770189,0.123844488,0,0.070247713
7/11/1981,0,0,0,0,0,0,0.003490133,0.095014524,0.362828455,0,3.464849496,0,1.931087518,5.400887948
7/12/1981,3.806729053,0,0,0.074397736,0,0,0.11792106,0.995883247,0,0.266536542,0.522425437,0,9.354397482,8.211482569
7/13/1981,1.090522817,0.021425407,1.2918579,0.371279348,0,0,0.81017302,2.054012991,0.000141271,3.079188304,0.830653239,0,0.63068899,3.63E-05
7/14/1981,0,0,0,0,0,0.108499796,0,0,0,0,1.010273336,0,0.003844887,0.027009115
7/15/1981,0,0,0,0,0,0.003699675,0,0,0,0,0,0,0,0
7/16/1981,0,0,0,0,0,0.067823285,0,0,0,0,0,0,0,0
7/17/1981,0,0,0,0,0,0.00861451,0,0,0,0,0,0,0,0
7/18/1981,0,0,0,0,0,0.04765016,0,0,0,0,0,0,0,0
7/19/1981,0,0,0,0,0,0.046712931,0,0,0,0,0,0,0,0
7/20/1981,0,0,0,0,0,0.002905164,0,0,0,0,0,0,0,0
7/21/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/22/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/23/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/1981,0,0,0,0,0,0,0,0,0.116108981,0,0,0,0,0.00536459
7/25/1981,0,0,0,0,0,0.000169496,0.192389833,0.046628856,0,0.001303321,0,0,0,0
7/26/1981,0.09023545,0,0,0,0,0,0,0,0.077792129,0.000554069,1.628937095,0,0.206521905,0.716458697
